ten_bang,thu_tu_cot,ten_cot,kieu_du_lieu,do_dai_toi_da,do_chinh_xac,so_chu_so_thap_phan,cho_phep_null,gia_tri_mac_dinh,la_khoa_chinh,ten_khoa_chinh,la_duy_nhat,ten_unique,la_khoa_ngoai,ten_khoa_ngoai,bang_tham_chieu,cot_tham_chieu,quy_tac_cap_nhat,quy_tac_xoa
ct_binh_chon_suat_an,1,binh_chon_id,integer,,32,0,NO,,YES,ct_binh_chon_suat_an_pkey,NO,,YES,fk_ct_binh_chon,nv_binh_chon_suat_an,id,NO ACTION,NO ACTION
ct_binh_chon_suat_an,2,mon_an_id,integer,,32,0,NO,,YES,ct_binh_chon_suat_an_pkey,NO,,YES,fk_ct_mon_an,dm_mon_an,id,NO ACTION,NO ACTION
ct_binh_chon_suat_an,3,active,boolean,,,,NO,true,NO,,NO,,NO,,,,,
ct_binh_chon_suat_an,4,created_at,timestamp without time zone,,,,NO,now(),NO,,NO,,NO,,,,,
ct_binh_chon_suat_an,5,updated_at,timestamp without time zone,,,,NO,now(),NO,,NO,,NO,,,,,
ct_chinh_sach_chuc_vu,1,id,bigint,,64,0,NO,nextval('ct_chinh_sach_chuc_vu_id_seq'::regclass),YES,ct_chinh_sach_chuc_vu_pkey,NO,,NO,,,,,
ct_chinh_sach_chuc_vu,2,chinh_sach_id,bigint,,64,0,NO,,NO,,YES,uq_ct_chinh_sach_chuc_vu,YES,fk_ct_cscv_chinh_sach,dm_chinh_sach,id,CASCADE,CASCADE
ct_chinh_sach_chuc_vu,3,chuc_vu_id,bigint,,64,0,NO,,NO,,YES,uq_ct_chinh_sach_chuc_vu,YES,fk_ct_cscv_chuc_vu,dm_chuc_vu,id,CASCADE,RESTRICT
ct_chinh_sach_chuc_vu,4,active,boolean,,,,NO,true,NO,,NO,,NO,,,,,
ct_chinh_sach_chuc_vu,5,created_at,timestamp without time zone,,,,NO,CURRENT_TIMESTAMP,NO,,NO,,NO,,,,,
ct_chinh_sach_chuc_vu,6,updated_at,timestamp without time zone,,,,NO,CURRENT_TIMESTAMP,NO,,NO,,NO,,,,,
ct_chinh_sach_tai_khoan,1,id,bigint,,64,0,NO,nextval('ct_chinh_sach_tai_khoan_id_seq'::regclass),YES,ct_chinh_sach_tai_khoan_pkey,NO,,NO,,,,,
ct_chinh_sach_tai_khoan,2,chinh_sach_id,bigint,,64,0,NO,,NO,,YES,uq_ct_chinh_sach_tai_khoan,YES,fk_ct_cstk_chinh_sach,dm_chinh_sach,id,CASCADE,CASCADE
ct_chinh_sach_tai_khoan,3,tai_khoan_id,bigint,,64,0,NO,,NO,,YES,uq_ct_chinh_sach_tai_khoan,YES,fk_ct_cstk_tai_khoan,dm_tai_khoan,id,CASCADE,RESTRICT
ct_chinh_sach_tai_khoan,4,active,boolean,,,,NO,true,NO,,NO,,NO,,,,,
